time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-01T02:13:42.117Z,28.966,-98.034,3.8415,1.9,ml,25,108,0.1,1.1,tx,tx2024ingh,2024-05-01T02:48:06.467Z,"2 km SW of Falls City, Texas",earthquake,0,1.10257609383739,0.1,19,automatic,tx,tx
2024-05-01T02:13:32.410Z,17.817,-67.0051666666667,32.86,2.42,md,9,252,0.1561,0.19,pr,pr71447358,2024-05-01T02:22:38.470Z,"18 km SSE of La Parguera, Puerto Rico",earthquake,1.1,1.6,0.0695757562520876,7,reviewed,pr,pr
2024-05-01T02:03:20.610Z,37.3678,-114.504,16,1.7,ml,9,193.89,0.437,0.256,nn,nn00877044,2024-05-01T05:38:28.284Z,"27 km S of Caliente, Nevada",earthquake,,0.7,0.61,7,automatic,nn,nn
2024-05-01T02:01:58.960Z,19.4433326721191,-155.156997680664,11.9200000762939,1.97,ml,8,334,0.1001,0.159999996,hv,hv74202252,2024-05-01T02:04:38.600Z,"3 km SW of Fern Forest, Hawaii",earthquake,14.68,8.35999966,0.08,4,automatic,hv,hv
2024-05-01T01:59:43.841Z,64.7352,-148.9878,3.8,1.2,ml,,,,0.92,ak,ak0245lsiihc,2024-05-01T02:01:35.392Z,"16 km NNE of Four Mile Road, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-05-01T01:58:18.910Z,19.3776664733887,-155.242340087891,0.740000009536743,1.8,ml,18,68,0.004393,0.159999996,hv,hv74202237,2024-05-01T02:00:57.540Z,"7 km S of Volcano, Hawaii",earthquake,0.28,0.180000007,0.19,8,automatic,hv,hv
2024-05-01T01:50:00.600Z,19.1645,-155.480833333333,31.3,3.04,ml,52,104,0.01987,0.11,hv,hv74202227,2024-05-01T03:25:36.532Z,"4 km S of Pāhala, Hawaii",earthquake,0.42,0.51,0.14920842323497,32,reviewed,hv,hv
2024-05-01T01:48:01.460Z,36.6225014,-121.2839966,4.11,1.93,md,22,156,0.02727,0.15,nc,nc74043581,2024-05-01T01:49:34.297Z,"16 km NW of Pinnacles, CA",earthquake,0.44,0.91,0.21,18,automatic,nc,nc
2024-05-01T01:47:30.030Z,19.1363333333333,-155.3745,30.12,3,ml,62,184,0.08497,0.1,hv,hv74202222,2024-05-01T03:32:59.552Z,"13 km SE of Pāhala, Hawaii",earthquake,0.43,0.48,0.146599956486396,38,reviewed,hv,hv
2024-05-01T01:37:53.660Z,39.4231,71.7478,10,4.3,mb,25,111,0.068,0.79,us,us6000mvde,2024-05-01T04:54:40.040Z,"28 km NE of Karakenja, Tajikistan",earthquake,5.71,1.832,0.154,12,reviewed,us,us
2024-05-01T01:33:37.153Z,61.3965,-151.1468,65.8,1.2,ml,,,,0.46,ak,ak0245lscxcj,2024-05-01T01:36:00.088Z,"28 km N of Beluga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-05-01T01:24:58.170Z,36.4716667,-117.5166667,-1.71,1.86,ml,21,84,0.2089,0.13,ci,ci40734384,2024-05-01T01:31:19.952Z,"36 km WSW of Stovepipe Wells, CA",earthquake,0.26,0.46,0.106,21,automatic,ci,ci
2024-05-01T01:24:50.558Z,-21.4553,-69.0143,102.471,5,mww,97,32,0.4,0.6,us,us6000mvda,2024-05-01T04:09:27.561Z,"82 km WSW of Ollagüe, Chile",earthquake,5.18,3.695,0.066,22,reviewed,us,us
2024-05-01T01:24:47.208Z,60.1876,-148.2205,0,1.5,ml,,,,0.99,ak,ak0245lsb0og,2024-05-01T01:26:49.107Z,"17 km NW of Chenega, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-05-01T01:20:58.840Z,38.8311653,-122.8144989,1.35,0.96,md,17,62,0.008494,0.01,nc,nc74043571,2024-05-01T01:22:34.938Z,"8 km NW of The Geysers, CA",earthquake,0.22,0.47,0.25,17,automatic,nc,nc
2024-05-01T01:18:40.140Z,33.259,-116.2626667,11.34,1.14,ml,62,25,0.06653,0.24,ci,ci40734376,2024-05-01T01:29:03.470Z,"10 km E of Borrego Springs, CA",earthquake,0.18,0.36,0.166,28,automatic,ci,ci
